,0,1,2,3,4
303,POR.N,31-Dec-2019,US,Electric Utilities (NEC),20612375
304,—,31-Dec-2019,US,Electric Utilities (NEC),20606956
305,ITC.N^J16,31-Dec-2019,US,Electric Utilities (NEC),20606917
306,ALE.N,31-Dec-2019,US,Electric Utilities (NEC),20606200
307,FE.N,31-Dec-2019,US,Electric Utilities (NEC),20589305
308,CMS.N,31-Dec-2019,US,"Multiline Utilities
+1",20581133
309,—,31-Dec-2019,US,Electric Utilities (NEC),20578494
310,REII.PK,30-Nov-2019,US,Electric Utilities (NEC),20554739
311,TVC.N,30-Sep-2019,US,Electric Utilities (NEC),191221835
312,USBL.PK,28-Feb-2019,US,Professional Sports Venues,191051338
313,—,31-May-2018,US,Electric Utilities (NEC),19907489
314,SUME.PK,31-Dec-2018,US,Electric Utilities (NEC),19744087
315,VSPC.PK,31-Dec-2018,US,Biomass & Waste to Energy Electric Utilities,19731494
316,BLNK.OQ,31-Dec-2018,US,Electrical Components & Equipment (NEC),19721791
317,—,31-Dec-2018,US,Electric Utilities (NEC),19718040
318,—,31-Dec-2018,US,Electric Utilities (NEC),19717584
319,—,31-Dec-2018,US,"Corporate Financial Services (NEC)
+1",19716366
320,—,31-Dec-2018,US,"—
+2",19715573
321,—,31-Dec-2018,US,Electric Utilities (NEC),19711761
322,—,31-Dec-2018,US,Electric Utilities (NEC),19711658
323,—,31-Dec-2018,US,Electric Utilities (NEC),19711617
324,—,31-Dec-2018,US,Electric Utilities (NEC),19708503
325,FLPWP.PK^C13,31-Dec-2018,US,Electric Utilities (NEC),19705772
326,—,31-Dec-2018,US,Electric Utilities (NEC),19703472
327,—,31-Dec-2018,US,Corporate Financial Services (NEC),19703462
328,OIGBQ.PK,31-Dec-2018,US,Electric Utilities (NEC),19688252
329,TERP.OQ^H20,31-Dec-2018,US,Alternative Electric Utilities,19686052
330,—,31-Dec-2018,US,Electric Utilities (NEC),19671104
331,PEGY.OQ,31-Dec-2018,US,Electric Utilities (NEC),19669097
332,—,31-Dec-2018,US,Electric Utilities (NEC),19667843
333,—,31-Dec-2018,US,—,19657755
334,VIA.OQ,31-Dec-2018,US,Electric Utilities (NEC),19654373
335,ORA.N,31-Dec-2018,US,Alternative Electric Utilities,19648889
336,PNM.N,31-Dec-2018,US,Electric Utilities (NEC),19648043
337,AGR.N,31-Dec-2018,US,Electric Utilities (NEC),19646605
338,—,31-Dec-2018,US,Electric Utilities (NEC),19645364
339,EE.N^G20,31-Dec-2018,US,Electric Utilities (NEC),19645111
340,PCG.N,31-Dec-2018,US,Electric Utilities (NEC),19644917
341,D.N,31-Dec-2018,US,"Electric Utilities (NEC)
+1",19644860
342,SCG_p.N^L09,31-Dec-2018,US,Electric Utilities (NEC),19644064
343,NRG.N,31-Dec-2018,US,Electric Utilities (NEC),19643990
344,EIX.N,31-Dec-2018,US,Electric Utilities (NEC),19643337
345,REII.PK,30-Nov-2018,US,Electric Utilities (NEC),19641776
346,CNP.N,31-Dec-2018,US,"Multiline Utilities
+2",19640301
347,AES.N,31-Dec-2018,US,Electric Utilities (NEC),19635020
348,IPL.N^C01,31-Dec-2018,US,Electric Utilities (NEC),19635076
