,0,1,2,3,4
249,ALP_pq.N^J22,31-Dec-2020,US,"Electric Utilities (NEC)
+1",21646497
250,CNLPL.PK,31-Dec-2020,US,Electric Utilities (NEC),21646372
251,—,31-Dec-2020,US,Electric Utilities (NEC),21644836
252,—,31-Dec-2020,US,Electric Utilities (NEC),21644767
253,—,31-Dec-2020,US,Electric Utilities (NEC),21644766
254,SPS.N^H97,31-Dec-2020,US,Electric Utilities (NEC),21644765
255,XEL.OQ,31-Dec-2020,US,Electric Utilities (NEC),21644284
256,ALE.N,31-Dec-2020,US,Electric Utilities (NEC),21641594
257,NEP.N,31-Dec-2020,US,Electric Utilities (NEC),21641007
258,TAECM.PK^L04,31-Dec-2020,US,Electric Utilities (NEC),21631857
259,ELB.N^L03,31-Dec-2020,US,Electric Utilities (NEC),21627282
260,,,,,
261,ITC.N^J16,31-Dec-2020,US,Electric Utilities (NEC),21622576
262,CMS.N,31-Dec-2020,US,"Multiline Utilities
+1",21616853
263,REII.PK,30-Nov-2020,US,Electric Utilities (NEC),21576490
264,TVC.N,30-Sep-2020,US,Electric Utilities (NEC),201318654
265,ALTND.PK^K20,31-Dec-2019,US,Solar Electric Utilities,201221462
266,TRNFQ.PK,31-Dec-2019,US,Fossil Fuel Electric Utilities,20903420
267,BLNK.OQ,31-Dec-2019,US,Electrical Components & Equipment (NEC),20770275
268,OIGBQ.PK,31-Dec-2019,US,Electric Utilities (NEC),20758222
269,SUME.PK,31-Dec-2019,US,Electric Utilities (NEC),20753094
270,FLPWP.PK^C13,31-Dec-2019,US,Electric Utilities (NEC),20752823
271,—,31-Dec-2019,US,"Corporate Financial Services (NEC)
+1",20751766
272,—,31-Dec-2019,US,Electric Utilities (NEC),20750672
273,—,31-Dec-2019,US,Electric Utilities (NEC),20750545
274,—,31-Dec-2019,US,Electric Utilities (NEC),20749165
275,—,31-Dec-2019,US,Electric Utilities (NEC),20749123
276,—,31-Dec-2019,US,Electric Utilities (NEC),20749108
277,—,31-Dec-2019,US,"—
+2",20746944
278,—,31-Dec-2019,US,Electric Utilities (NEC),20742497
279,—,31-Dec-2019,US,Electric Utilities (NEC),20733087
280,,,,,
281,TERP.OQ^H20,31-Dec-2019,US,Alternative Electric Utilities,20721751
282,PEGY.OQ,31-Dec-2019,US,Electric Utilities (NEC),20720251
283,—,31-Dec-2019,US,Electric Utilities (NEC),20714398
284,—,31-Dec-2019,US,Electric Utilities (NEC),20708519
285,—,31-Dec-2019,US,—,20704201
286,VIA.OQ,31-Dec-2019,US,Electric Utilities (NEC),20689953
287,CNL.N^D16,31-Dec-2019,US,Electric Utilities (NEC),20683856
288,AGR.N,31-Dec-2019,US,Electric Utilities (NEC),20677186
289,PNM.N,31-Dec-2019,US,Electric Utilities (NEC),20677011
290,—,31-Dec-2019,US,Electric Utilities (NEC),20675606
291,ORA.N,31-Dec-2019,US,Alternative Electric Utilities,20674779
292,EVRG.OQ,31-Dec-2019,US,Electric Utilities (NEC),20674161
293,AEE.N,31-Dec-2019,US,"Multiline Utilities
+1",20672703
294,HAWLI.PK,31-Dec-2019,US,Electric Utilities (NEC),20669313
295,VST.N,31-Dec-2019,US,Electric Utilities (NEC),20665913
296,SCG_p.N^L09,31-Dec-2019,US,Electric Utilities (NEC),20665917
297,D.N,31-Dec-2019,US,"Electric Utilities (NEC)
+1",20665850
298,DPL.N^K11,31-Dec-2019,US,Electric Utilities (NEC),20664441
299,IPL.N^C01,31-Dec-2019,US,Electric Utilities (NEC),20664439
300,,,,,
301,NRG.N,31-Dec-2019,US,Electric Utilities (NEC),20663296
302,EIX.N,31-Dec-2019,US,Electric Utilities (NEC),20662183
303,—,31-Dec-2019,US,Electric Utilities (NEC),20661732
304,SDO_ph.A^J13,31-Dec-2019,US,"Electric Utilities (NEC)
+2",20661525
305,WIPSI.PK^K15,31-Dec-2019,US,Electric Utilities (NEC),20659845
306,WELPP.PK,31-Dec-2019,US,Electric Utilities (NEC),20659725
307,WEC.N,31-Dec-2019,US,Electric Utilities (NEC),20659490
308,CNP.N,31-Dec-2019,US,"Multiline Utilities
+2",20658383
309,OGE.N,31-Dec-2019,US,Electric Utilities (NEC),20657588
310,CNLPL.PK,31-Dec-2019,US,Electric Utilities (NEC),20657752
311,EE.N^G20,31-Dec-2019,US,Electric Utilities (NEC),20658215
312,MGEE.OQ,31-Dec-2019,US,Electric Utilities (NEC),20657954
313,—,31-Dec-2019,US,Fossil Fuel Electric Utilities,20657586
314,CPN.N^C18,31-Dec-2019,US,Electric Utilities (NEC),20646951
315,—,31-Dec-2019,US,Electric Utilities (NEC),20641923
316,PSD.N^B09,31-Dec-2019,US,Electric Utilities (NEC),20640855
317,—,31-Dec-2019,US,Electric Utilities (NEC),20640139
318,—,31-Dec-2019,US,Electric Utilities (NEC),20640016
319,—,31-Dec-2019,US,Electric Utilities (NEC),20640019
320,,,,,
321,,,,,
322,LNT.OQ,31-Dec-2019,US,Electric Utilities (NEC),20638937
323,EGRKM.PK^K18,31-Dec-2019,US,"Electric Utilities (NEC)
+1",20638324
324,AZD.N^A00,31-Dec-2019,US,Electric Utilities (NEC),20637470
325,CEDNM.PK^E12,31-Dec-2019,US,"Multiline Utilities
+1",20636198
326,OTTR.OQ,31-Dec-2019,US,Electric Utilities (NEC),20635163
327,—,31-Dec-2019,US,"Electric Utilities (NEC)
+2",20634307
328,—,31-Dec-2019,US,Electric Utilities (NEC),20632651
329,IDA.N,31-Dec-2019,US,Electric Utilities (NEC),20632598
330,ALP_pq.N^J22,31-Dec-2019,US,"Electric Utilities (NEC)
+1",20631600
331,NEP.N,31-Dec-2019,US,Electric Utilities (NEC),20625867
332,—,31-Dec-2019,US,Electric Utilities (NEC),20624735
333,PCG.N,31-Dec-2019,US,Electric Utilities (NEC),20623645
334,TAECM.PK^L04,31-Dec-2019,US,Electric Utilities (NEC),20623228
335,KUTLP.PK^J05,31-Dec-2019,US,"Electric Utilities (NEC)
+1",20619742
336,ELB.N^L03,31-Dec-2019,US,Electric Utilities (NEC),20618677
337,POR.N,31-Dec-2019,US,Electric Utilities (NEC),20612375
338,—,31-Dec-2019,US,Electric Utilities (NEC),20606956
339,ITC.N^J16,31-Dec-2019,US,Electric Utilities (NEC),20606917
340,FE.N,31-Dec-2019,US,Electric Utilities (NEC),20589305
341,CMS.N,31-Dec-2019,US,"Multiline Utilities
+1",20581133
342,—,31-Dec-2019,US,Electric Utilities (NEC),20578494
343,REII.PK,30-Nov-2019,US,Electric Utilities (NEC),20554739
344,TVC.N,30-Sep-2019,US,Electric Utilities (NEC),191221835
345,USBL.PK,28-Feb-2019,US,Professional Sports Venues,191051338
346,—,31-May-2018,US,Electric Utilities (NEC),19907489
347,SUME.PK,31-Dec-2018,US,Electric Utilities (NEC),19744087
348,VSPC.PK,31-Dec-2018,US,Biomass & Waste to Energy Electric Utilities,19731494
349,BLNK.OQ,31-Dec-2018,US,Electrical Components & Equipment (NEC),19721791
350,—,31-Dec-2018,US,Electric Utilities (NEC),19718040
351,—,31-Dec-2018,US,Electric Utilities (NEC),19717584
352,—,31-Dec-2018,US,"Corporate Financial Services (NEC)
+1",19716366
353,—,31-Dec-2018,US,"—
+2",19715573
354,CPN.N^C18,31-Dec-2018,US,Electric Utilities (NEC),19711834
355,—,31-Dec-2018,US,Electric Utilities (NEC),19711761
356,—,31-Dec-2018,US,Electric Utilities (NEC),19711658
357,—,31-Dec-2018,US,Electric Utilities (NEC),19711617
358,—,31-Dec-2018,US,Electric Utilities (NEC),19708503
359,FLPWP.PK^C13,31-Dec-2018,US,Electric Utilities (NEC),19705772
360,—,31-Dec-2018,US,Electric Utilities (NEC),19703472
361,—,31-Dec-2018,US,Corporate Financial Services (NEC),19703462
362,OIGBQ.PK,31-Dec-2018,US,Electric Utilities (NEC),19688252
363,TERP.OQ^H20,31-Dec-2018,US,Alternative Electric Utilities,19686052
364,—,31-Dec-2018,US,Electric Utilities (NEC),19671104
365,PEGY.OQ,31-Dec-2018,US,Electric Utilities (NEC),19669097
366,—,31-Dec-2018,US,Electric Utilities (NEC),19667843
367,—,31-Dec-2018,US,—,19657755
368,VIA.OQ,31-Dec-2018,US,Electric Utilities (NEC),19654373
369,ORA.N,31-Dec-2018,US,Alternative Electric Utilities,19648889
370,PNM.N,31-Dec-2018,US,Electric Utilities (NEC),19648043
371,AGR.N,31-Dec-2018,US,Electric Utilities (NEC),19646605
372,—,31-Dec-2018,US,Electric Utilities (NEC),19645364
373,VST.N,31-Dec-2018,US,Electric Utilities (NEC),19644184
374,AT.N^E21,31-Dec-2018,CA,Electric Utilities (NEC),19644551
375,EE.N^G20,31-Dec-2018,US,Electric Utilities (NEC),19645111
376,PCG.N,31-Dec-2018,US,Electric Utilities (NEC),19644917
377,D.N,31-Dec-2018,US,"Electric Utilities (NEC)
+1",19644860
378,HAWLI.PK,31-Dec-2018,US,Electric Utilities (NEC),19644171
379,SCG_p.N^L09,31-Dec-2018,US,Electric Utilities (NEC),19644064
380,,,,,
381,D.N,31-Dec-2018,US,"Electric Utilities (NEC)
+1",19644860
382,HAWLI.PK,31-Dec-2018,US,Electric Utilities (NEC),19644171
383,SCG_p.N^L09,31-Dec-2018,US,Electric Utilities (NEC),19644064
384,NRG.N,31-Dec-2018,US,Electric Utilities (NEC),19643990
385,EIX.N,31-Dec-2018,US,Electric Utilities (NEC),19643337
386,—,31-Dec-2018,US,"Electric Utilities (NEC)
+2",19642858
387,REII.PK,30-Nov-2018,US,Electric Utilities (NEC),19641776
388,CNP.N,31-Dec-2018,US,"Multiline Utilities
+2",19640301
389,AES.N,31-Dec-2018,US,Electric Utilities (NEC),19635020
390,IPL.N^C01,31-Dec-2018,US,Electric Utilities (NEC),19635076
391,DPL.N^K11,31-Dec-2018,US,Electric Utilities (NEC),19635080
392,CNL.N^D16,31-Dec-2018,US,Electric Utilities (NEC),19635522
393,AEE.N,31-Dec-2018,US,"Multiline Utilities
+1",19634581
394,—,31-Dec-2018,US,Electric Utilities (NEC),19634380
395,SDO_ph.A^J13,31-Dec-2018,US,"Electric Utilities (NEC)
+2",19634157
396,WIPSI.PK^K15,31-Dec-2018,US,Electric Utilities (NEC),19633558
397,WELPP.PK,31-Dec-2018,US,Electric Utilities (NEC),19633164
